0.9093023255813953
class4,p
nonevent,0.31514057104186743
nonevent,0.16346181311786476
Ib,0.7076658691009969
Ib,0.9996800364904186
nonevent,0.04116624234586749
Ia,0.8521203051229029
II,0.9201112933399298
Ia,0.9969661418662853
Ib,0.9926401313044174
II,0.9581700272155721
Ib,0.9312576108243302
nonevent,0.0015020340394458957
nonevent,0.029452525162014114
II,0.9833867037630951
nonevent,0.5270063233233742
II,0.9915305283739628
nonevent,0.011843370795839327
Ib,0.9709401220670255
II,0.9465853792549803
nonevent,0.0010811349585957961
nonevent,0.03234339555791944
II,0.6142676719135634
nonevent,0.020877079489872438
nonevent,0.0002585441822889806
nonevent,0.0006909147395987325
nonevent,0.024538366301675277
Ib,0.9997436802721302
nonevent,0.033784195276094366
nonevent,0.2541471511805531
nonevent,0.0003770567037037413
nonevent,0.14582566102159494
II,0.8660379006070844
nonevent,0.08311730202365138
nonevent,0.029450684767403354
Ib,0.9977833727160916
Ib,0.9936094800804842
II,0.9002127887943603
nonevent,0.028224420327068317
II,0.9745154349630186
nonevent,0.02849475560983767
Ib,0.9997713453922927
II,0.9859125300355002
Ib,0.927491222206256
II,0.9129598661938471
Ib,0.9997993072576259
II,0.9999656680534125
nonevent,9.762150194412367e-11
nonevent,0.00520227869625908
nonevent,0.0009309133379893997
II,0.6627960935006619
II,0.9971151489137232
nonevent,0.0023334950366994955
nonevent,0.00032689004454940733
nonevent,0.003447551036801867
Ia,0.9988911694404399
nonevent,6.277137967228625e-06
Ib,0.9983551345552175
II,0.9987589561200347
Ib,0.9985231426404189
nonevent,1.0107452507492355e-06
nonevent,0.45633712193966736
II,0.8112640020466921
nonevent,0.0077585712900599445
nonevent,0.3601148379705026
nonevent,0.07497970080467287
II,0.9666059612328173
nonevent,0.23705388082601345
nonevent,0.0882207282592167
II,0.9726323607738567
II,0.7880313306302291
Ib,0.7492399536025887
II,0.9983859151634769
nonevent,0.001164687102061961
nonevent,0.023252953726438434
II,0.9953286794889855
nonevent,0.009529419705904256
Ib,0.9998692124090292
Ia,0.9578719028111919
Ia,0.9917670714262262
nonevent,0.00036007930819849317
nonevent,8.777871043999408e-05
II,0.9818356612769562
Ib,0.8958299476936382
nonevent,0.1413456628624084
nonevent,0.0059254998774441806
nonevent,2.958084533676345e-06
II,0.9993369659091356
II,0.6313039113846837
II,0.9329565968119099
nonevent,0.10081282454840781
II,0.9991520949623638
II,0.9961794839643399
nonevent,0.3782068497018757
Ib,0.9971153810671314
nonevent,0.25419787566850544
Ib,0.9549885040394632
nonevent,0.011480967416434944
Ia,0.7472777611486896
nonevent,0.005847446251569397
Ib,0.9995361221038431
Ib,0.9999283991711307
nonevent,0.0007224950214002727
nonevent,3.342331115631219e-05
nonevent,0.5084251521759389
Ia,0.9977827125111847
nonevent,0.07642445566562502
Ib,0.9866371283663524
Ia,0.9998477372505447
Ib,0.9082627020148129
nonevent,0.46665457698108415
nonevent,0.09593188440432457
nonevent,0.00036973566608046113
nonevent,3.7851500501417154e-05
II,0.9882066810000179
nonevent,0.007478909976877762
Ib,0.9792710675807772
nonevent,0.0009659851115745924
Ib,0.9989687400356513
nonevent,0.23089426437866284
nonevent,0.3829301075445779
nonevent,0.2565862494246369
II,0.7858781265268491
Ib,0.9982527823352696
nonevent,0.10115149110943189
Ib,0.9996566134125724
nonevent,0.5586110313258853
Ib,0.9874429544668473
II,0.9948502995678774
II,0.9822917332200356
nonevent,0.23031917588778425
nonevent,0.4116644176373754
nonevent,0.034631740611218466
II,0.9599229743295267
nonevent,0.33613759604430743
nonevent,0.01379157061961845
nonevent,0.030813618377606464
Ib,0.9971121740252422
Ib,0.9999999991668745
nonevent,0.0036670444217548614
II,0.9841449015285344
II,0.9990841691552583
nonevent,0.0013315045277178558
Ib,0.9524010991300957
nonevent,0.0007047134503074384
nonevent,0.025647483411274
nonevent,0.0010482284670619213
nonevent,0.5628913067290724
nonevent,0.025233710417272393
II,0.9013266301419316
nonevent,0.3483677768838549
nonevent,0.0037188778248045127
Ib,0.9990473684797863
nonevent,0.03870509201318465
nonevent,0.03804240557239185
nonevent,0.32377548016091406
nonevent,0.07114598248230286
nonevent,2.369813319860209e-06
II,0.9192410154915258
II,0.9975352160225316
nonevent,0.005255387769537084
nonevent,0.000973013402762898
nonevent,0.3068081107681429
nonevent,0.5685227995278568
nonevent,0.0017334113986511143
nonevent,0.09869822576682102
nonevent,0.036241210693481865
nonevent,0.006523584756218709
nonevent,0.021132405493693426
nonevent,0.5122059283386299
II,0.9621004365077276
II,0.998498294428926
nonevent,0.05185542245162683
nonevent,0.0045185944922625735
nonevent,0.054592371431905526
nonevent,0.0003776983887514181
nonevent,0.3792919664790043
Ib,0.9998684264260156
nonevent,0.052539051548554844
nonevent,0.0004317988187529423
Ib,0.9989434926369543
nonevent,0.0996429486440252
Ib,0.9998005066821798
nonevent,0.11590285850938242
nonevent,0.014341267047032518
nonevent,0.44080189795761104
nonevent,0.08868784209808239
Ia,0.8678786537313146
Ib,0.8025644625674306
nonevent,0.024803716850318607
nonevent,0.0014942355543451629
II,0.994138368885508
nonevent,0.48223916302240116
nonevent,3.7811483402560176e-05
nonevent,0.03154218349988546
II,0.9791628883748125
Ib,0.9112952993090859
II,0.9958466900080142
nonevent,0.012885849737785912
nonevent,0.00044720389916895747
nonevent,0.015676747291080807
II,0.9822452770568767
II,0.7940151691740065
nonevent,0.33245664500710953
II,0.9836364054616763
II,0.929809704095977
Ib,0.984214235487293
Ib,0.9196713294273562
II,0.8960383859965134
II,0.9976515778621675
nonevent,0.0014438211558036207
nonevent,0.044386756642885786
II,0.627812496874147
II,0.8720013221064635
nonevent,0.3608259970306629
nonevent,3.1196853507557465e-07
nonevent,0.21878657276640134
nonevent,6.339845827510711e-06
II,0.9963189698987274
nonevent,0.0018287416613440518
Ib,0.9989247912818493
II,0.9997318910152837
Ib,0.9996546984741308
nonevent,0.4229891062834596
Ib,0.9741167614251035
II,0.990662916928756
nonevent,1.7603577008520978e-05
nonevent,0.036805592887130575
Ib,0.999701337738372
nonevent,3.8948071728898436e-05
nonevent,0.4126393483196793
nonevent,0.013160943382269433
nonevent,0.042318701873113825
nonevent,0.14256990408824774
II,0.9121701993099314
Ia,0.718151283917731
Ib,0.9721595311062909
nonevent,0.010445667695406405
Ib,0.9741932566600965
nonevent,0.35829439483411185
II,0.9858577667728943
nonevent,0.009681508389946258
nonevent,0.05144857793466475
Ia,0.9981848684926602
nonevent,0.005101110751449547
Ib,0.9980830325813982
nonevent,0.4923424704749597
nonevent,0.6495969329176664
nonevent,0.04303361078907295
nonevent,0.4406137178580075
nonevent,0.012003362427503496
nonevent,0.2193208228418993
nonevent,0.03586660726054182
nonevent,0.03302702327169498
nonevent,0.018256654367334087
nonevent,0.0003577590539105852
Ib,0.9930382364209676
nonevent,1.1071660118926614e-05
II,0.9902027655569913
Ib,0.9994295311476167
nonevent,0.08307184631434233
Ib,0.9803183256670491
nonevent,0.28161798594424675
Ib,0.9986403415232293
II,0.7117448914224321
nonevent,0.22073326728706316
nonevent,0.3851832902221125
Ib,0.9726388800044085
nonevent,0.001635379493140016
nonevent,0.023275022813917474
nonevent,0.0021216319234588915
nonevent,0.0001325708035436835
nonevent,0.008873948297839536
Ib,0.9999843178963499
Ib,0.9987444824847173
nonevent,0.00015666319015175873
nonevent,0.5627403367726193
II,0.9989240889071269
nonevent,0.0006639194314487806
nonevent,0.002170294632640099
Ia,0.9999205138579862
II,0.999759505505741
nonevent,0.014455481701156202
Ib,0.9874273811902065
nonevent,0.3117236268779668
II,0.7749457557833959
II,0.9482182197755252
II,0.999642495697824
nonevent,0.0053412602063882255
Ib,0.981545128722144
II,0.6625527752266234
nonevent,0.00010762902387324855
nonevent,0.01938322522317703
II,0.9991030799478007
II,0.9987741017628483
II,0.9858510410465098
nonevent,0.010611539063736082
nonevent,0.3365256252398642
nonevent,0.6709732619251356
nonevent,0.11169324515783963
II,0.8179966938155085
II,0.8079970322443357
II,0.9204983847628904
nonevent,0.19345323673350734
II,0.9983337645522911
II,0.984086569799121
II,0.9584289316911219
nonevent,0.20393449060880395
nonevent,0.12848141111383599
nonevent,0.001009490647604213
nonevent,0.016313465761994134
II,0.9227417530863525
Ib,0.684934775297013
Ib,0.9995519396411972
nonevent,0.5360510289778178
nonevent,0.05877265741979416
nonevent,0.008951682991009102
nonevent,0.06752342975778462
nonevent,5.975129151010296e-07
nonevent,0.23714067340989764
nonevent,0.004232136762851869
Ib,0.8755534114013597
Ia,0.9996329488012343
Ib,0.9092530001423589
nonevent,0.038099670190172866
II,0.9937674480498384
Ia,0.9958581063670755
nonevent,7.266503766356779e-05
II,0.9241887104214378
Ib,0.7219967697769163
nonevent,0.0019935893055293037
nonevent,0.4252868872226335
nonevent,0.005522606742153489
nonevent,0.0025188592883375847
nonevent,0.03948194347740779
Ia,0.9997131944829292
nonevent,0.021118476263335698
II,0.7870874279508345
Ib,0.8114721115508831
Ia,0.9462786212448471
II,0.917202053944053
nonevent,7.680908564631084e-09
II,0.9961476079525048
nonevent,4.52981948453234e-05
II,0.8366702305124356
II,0.9956045131375437
II,0.8015477877439499
Ib,0.9993129723883403
II,0.6257528725240615
nonevent,0.011552423547598275
II,0.6705543301581289
II,0.9667240201598089
Ib,0.9993509412612285
II,0.8705163361502566
Ib,0.7913892086970089
II,0.9986450146252954
nonevent,0.029987452176036423
Ia,0.9915011190273684
II,0.9964276233595766
nonevent,0.13511579880646193
nonevent,0.0014073745804370201
II,0.7830822265538315
nonevent,0.03140820866313754
II,0.9989189553951695
nonevent,0.009937549616000164
II,0.9337979339149806
nonevent,0.2924198097157019
II,0.7696083762309709
Ib,0.9999103644819938
Ia,0.9453173982980053
nonevent,0.0005409230930199201
Ib,0.9951210295262989
nonevent,0.020753451998941762
II,0.8251577558858372
Ib,0.7346649318345615
nonevent,0.2544482397442043
nonevent,0.02385643137253556
nonevent,0.0043506467485511825
Ib,0.927997990523606
nonevent,0.01739067968168228
nonevent,0.0011866932646893299
nonevent,0.006338493290285849
Ib,0.9928822119550655
nonevent,0.2622450468231751
II,0.9926014938634236
nonevent,0.011305518362343444
nonevent,0.0212860096543847
II,0.9626166950118753
II,0.9999195136870247
nonevent,0.3000141182288541
Ib,0.9759609868284934
nonevent,0.051957738031180895
nonevent,0.0007692082727115232
nonevent,0.28298749480883023
nonevent,0.0005020040416548746
II,0.6802308675280373
II,0.9998195937425537
nonevent,0.0002002534279976116
Ib,0.9971354822207491
II,0.9570559116551935
nonevent,0.0004946355321278176
nonevent,0.0016058437994579725
Ia,0.9605208287630751
nonevent,6.493932037803061e-07
nonevent,0.3222763413326024
nonevent,0.1882122226475767
nonevent,0.1419624636854297
II,0.9934923868152403
II,0.9461119253556224
nonevent,0.0483936956651458
nonevent,0.1642502168355801
Ib,0.9941739021361348
nonevent,0.3163840309403732
nonevent,0.005566481550420974
nonevent,0.044441824771881494
II,0.8998441601058855
Ib,0.9927725483636964
nonevent,0.0720187944256909
nonevent,0.45594973893961643
II,0.9841368567627056
Ib,0.9893503316245253
Ia,0.9999649551999084
Ib,0.9997814158577186
nonevent,0.002257206287171786
nonevent,0.09335630427918751
nonevent,0.06100970235895611
II,0.9732640144032627
nonevent,4.4887568087524195e-06
nonevent,0.05437839793531945
nonevent,4.866513947696092e-05
II,0.9879355688687368
nonevent,0.3142588389887147
nonevent,4.6556650535324025e-07
nonevent,0.5760335985471947
nonevent,0.016543154427598475
nonevent,0.16603957484036336
Ib,0.9504528498898797
nonevent,0.011305300447869947
nonevent,0.16987694552958105
Ia,0.9915670325198275
nonevent,0.0006598551085953614
nonevent,0.004057857332749029
nonevent,0.16733265500049838
nonevent,0.010114789986174188
Ib,0.9998193950739822
Ib,0.9920021118846486
nonevent,0.23503663464808558
Ib,0.9983078907717198
II,0.7726156900447789
nonevent,0.008655753368375823
II,0.9995820330114173
Ib,0.9415704683927352
Ia,0.9771164975190796
nonevent,0.032386073581835866
nonevent,0.0035982108409812756
nonevent,0.010809268834146407
II,0.9887951143844047
II,0.7112259142984066
Ib,0.9952930063255689
nonevent,0.004225063172109012
Ib,0.6787891634641859
nonevent,0.0013105800374229527
nonevent,0.022168313562244715
nonevent,0.3716799123228687
II,0.9996193081603277
II,0.9714470091740401
nonevent,0.028663373571606046
nonevent,0.002464640291172221
nonevent,0.000768271272759516
nonevent,0.004455743886397011
nonevent,0.6385832889337619
II,0.9943640973080139
nonevent,1.0615958953486476e-05
nonevent,0.3387381218407868
nonevent,0.008135157208592782
nonevent,0.593377388601072
nonevent,0.0010634175201416545
nonevent,0.006415717953238303
nonevent,0.15218511812461283
II,0.8765361275683534
II,0.6817671161403654
Ib,0.9755349899451313
Ia,0.5255856360995216
II,0.9800057090672376
Ia,0.6524602269511453
Ia,0.9973580488444183
II,0.8518552510512136
II,0.9966931531570093
II,0.9307707113102008
Ib,0.9989520856450167
Ib,0.9987009161573794
nonevent,0.00011103298065087236
Ib,0.970712871707474
Ib,0.9978971459556067
nonevent,0.0033301507070823133
nonevent,4.683207226298096e-07
nonevent,0.11305354633978867
II,0.998680646006342
nonevent,0.1397737671586517
II,0.8829755547780005
Ib,0.998088589655362
Ib,0.999751504418706
nonevent,0.09622636666376844
nonevent,0.003840304181662744
nonevent,0.0006663577816956059
II,0.6934952508902082
Ib,0.9806484345715087
nonevent,0.008539164276206906
nonevent,0.0010522343653739266
II,0.9615729623261746
nonevent,0.44826450932879264
nonevent,0.0010712097968542437
Ib,0.9991105950611172
nonevent,0.002085098259437847
II,0.9631380551361841
nonevent,0.14639690409783362
Ib,0.9934820394486705
nonevent,0.017141168585795296
Ib,0.9734604866154599
Ia,0.9997529440198769
Ib,0.9736091513525931
nonevent,0.028008093872055127
Ib,0.9964412972922434
nonevent,0.31338587661389744
nonevent,0.2566713872851447
II,0.6114789733323038
nonevent,0.016638006041131463
Ib,0.936649342601892
nonevent,0.17547099029345153
nonevent,0.0011748087656086594
II,0.6034355452364435
nonevent,0.06034761031230261
nonevent,0.4410214756198406
nonevent,0.004064789506328001
II,0.7757987838586256
II,0.9661917190655221
nonevent,0.000878567706507696
Ia,0.9870749501381186
nonevent,0.3436166840999609
II,0.9835120652092574
nonevent,0.0024813363003886243
II,0.9951589308898077
nonevent,0.008072308121735794
nonevent,0.12388428997939224
nonevent,0.007958490936665927
nonevent,0.0011695802016133535
nonevent,0.07089688248435357
Ib,0.9952231243284375
II,0.8644319531819372
II,0.985420619824888
nonevent,0.01295523926636058
Ib,0.9958829398873591
nonevent,0.005133011131306105
II,0.9837787230661936
nonevent,0.22600374623159405
nonevent,0.003636050863916892
nonevent,0.007127170249154072
II,0.9985928782025979
II,0.9989090390713842
nonevent,0.00021031313574520875
nonevent,0.01277949102590951
nonevent,0.12858105669323244
II,0.7578721273206882
nonevent,0.025698199515958947
nonevent,0.00022705157565803793
nonevent,0.09538470427489397
Ib,0.9999603495682244
nonevent,0.017864092423826323
II,0.9976699104002436
Ia,0.9512358361476396
II,0.8447032899372127
nonevent,0.025544852331607755
nonevent,1.4625504975372017e-05
nonevent,7.42441874797231e-05
Ib,0.8239569960516746
nonevent,0.07836465356644928
Ia,0.9997460300538984
nonevent,0.00025910974597387787
nonevent,0.009056168833975321
nonevent,0.00023032317158202945
nonevent,0.09602423666143266
II,0.9905448005259638
nonevent,0.4877747488836165
nonevent,0.00022546137084036044
nonevent,0.3643545235806359
nonevent,8.640043931761307e-06
nonevent,0.010920609064190324
Ia,0.9990165446352554
nonevent,0.042921966988786836
nonevent,0.0028603385682945833
nonevent,8.218787944405616e-07
II,0.9985539357136131
nonevent,0.016157118943741874
nonevent,0.13972268849637245
nonevent,0.22567461134202182
Ib,0.9993673920272439
Ib,0.9992372240884315
nonevent,0.15883001177472647
nonevent,0.006746184906955271
Ib,0.9307523501303233
nonevent,0.04723532281220758
nonevent,0.006873364666738624
nonevent,0.4966518424492546
nonevent,0.005878678445881851
nonevent,0.6371468558039957
nonevent,0.1036818794260932
nonevent,0.003988949438310114
nonevent,0.04855603485079063
nonevent,0.035560050007922145
nonevent,0.02460909843128663
nonevent,1.2296108086837178e-05
nonevent,2.229007733611525e-05
nonevent,0.04331350946462828
nonevent,0.02839905860636683
Ib,0.9163928485291679
nonevent,0.0019410317481113116
II,0.9416844990165838
Ia,0.8198050217150278
II,0.9734431265084527
II,0.9539835126279423
nonevent,0.45242966851704225
II,0.9919498491458246
nonevent,0.10433928824974262
nonevent,0.0028917048207610548
nonevent,0.058722339052348874
nonevent,0.0005352746627025613
nonevent,0.0025599974877215767
nonevent,0.0012568296194916512
II,0.9992041769357073
nonevent,0.0005810168166428756
Ib,0.6142552708374874
nonevent,5.655265824671879e-05
II,0.7953874697214977
Ib,0.9959973356238276
II,0.9969377434189751
nonevent,0.007452694263439351
Ia,0.9728267416934537
Ib,0.999541187923727
nonevent,9.304833633146303e-06
nonevent,0.01133557255063113
nonevent,0.009432236526120252
Ib,0.9949314571857186
II,0.957706319039022
Ib,0.9086651945171669
nonevent,0.24416049085747055
Ib,0.9966834847272741
nonevent,0.04665034517620387
Ia,0.9977644498522681
nonevent,0.0022793943437932882
Ib,0.9918921686475657
nonevent,0.0002798135509045927
nonevent,0.5496830325022336
nonevent,0.6108855385433789
Ib,0.9231381441436526
nonevent,0.00014560372050928153
nonevent,0.06930309112330352
nonevent,0.2779524953713443
nonevent,0.39840043700064187
nonevent,0.2841250459384639
nonevent,0.00018189239522212644
Ia,0.9897081627878266
Ib,0.9937211034009161
nonevent,5.434240862599531e-06
Ib,0.9989129201142595
Ib,0.9860000084576357
II,0.9875175675570813
Ia,0.9779286233150823
II,0.9900446510702745
nonevent,6.0829830439292286e-05
nonevent,0.3474699380626465
II,0.9065757347465331
nonevent,0.4369938804878637
nonevent,0.001236749083127089
II,0.9654258509237326
nonevent,0.41234359022858613
Ib,0.9994013330268499
nonevent,0.04376849611622248
II,0.8719792765592171
II,0.994009455072385
nonevent,0.09048345296259128
nonevent,0.001852135826874297
nonevent,0.03130362673270304
II,0.9963431590831875
II,0.8761790963376912
Ia,0.9997652165113748
Ib,0.958778415975591
nonevent,0.023175676811422536
nonevent,0.09061462370721257
Ia,0.9024124682611872
II,0.9567129224687355
II,0.9986869575709729
nonevent,0.016117801447408642
Ib,0.9959119739890786
nonevent,0.019975351593327313
nonevent,0.07212255896146648
nonevent,0.0005576925191146139
Ib,0.988818910034508
Ia,0.7949944902738935
nonevent,0.0004554209218020985
nonevent,0.011162998546037532
II,0.9842986152278009
II,0.9220047425258795
Ib,0.9984584383098151
nonevent,0.06474156462098223
Ib,0.981733622566074
nonevent,0.12831617474390508
Ia,0.836318153049525
nonevent,0.012054428075710832
nonevent,0.0586532737541161
Ib,0.9927853350884586
nonevent,0.014804912626122733
nonevent,0.09934255433198738
nonevent,0.0010950320953233973
nonevent,9.453309743225169e-05
II,0.9987090899312561
II,0.9833950685479615
nonevent,0.4255328659989439
nonevent,0.023397217155028942
nonevent,0.0012659844937280183
nonevent,0.000156634492280696
II,0.9417630550060112
II,0.7637011970242977
nonevent,0.013788076426646794
nonevent,0.14332407021503424
nonevent,5.396211158025106e-05
nonevent,0.0055018753527144295
Ib,0.7049770461694242
II,0.9986083550923385
nonevent,6.765806321940962e-06
II,0.7465207585401561
nonevent,2.011871112740544e-05
nonevent,0.0605572556268323
nonevent,8.722687320254564e-05
Ib,0.9986644056013645
II,0.9740383144137298
Ib,0.9996855602035958
nonevent,0.01610074317151283
nonevent,0.31118839496385786
II,0.9882684068788241
nonevent,0.04479906331287783
nonevent,0.1011434565913829
II,0.9972180135857555
nonevent,9.926515335516987e-06
nonevent,0.014916620044578742
Ia,0.9990730321636544
nonevent,0.008082490468152776
nonevent,0.0001680712140868966
nonevent,0.17456034506266316
Ia,0.9988256222462495
II,0.9956955298632062
Ia,0.7264852579470444
II,0.9640905023989734
Ia,0.9956814811225994
II,0.9560264911874694
II,0.9994913651441053
Ib,0.9495890910962778
nonevent,0.18511427204218167
Ib,0.9996653983678301
Ib,0.999751361831537
II,0.9983635985339041
nonevent,0.02934213535209558
nonevent,0.23861187669589584
nonevent,5.025718171347049e-07
nonevent,0.0012213659003705185
II,0.8757618112593198
nonevent,0.12251310800207864
Ib,0.994516740309807
II,0.9936996408113213
nonevent,0.3606465590875159
Ia,0.9995201275639334
II,0.7416203575696914
Ib,0.7599845469240183
nonevent,0.416931086734196
II,0.9272340129697054
nonevent,0.09099286181981166
nonevent,0.03260929456616073
nonevent,0.008637932746606862
nonevent,0.0655481998269083
nonevent,0.20797503368696604
nonevent,0.11881812673602465
nonevent,2.6962453695071407e-05
II,0.9864368628543855
nonevent,0.3053275902334517
II,0.9924981865438689
nonevent,0.5360765262170633
nonevent,0.004541032596316534
nonevent,0.001982604373970802
Ib,0.9906237921416015
nonevent,0.00010777581111960081
II,0.7164633798041222
Ia,0.9959779183214013
nonevent,0.000746619679521916
nonevent,0.0005739175381616324
nonevent,0.6292092888178327
nonevent,0.049345620295739974
nonevent,0.0010124933944112972
nonevent,0.006381523577994459
nonevent,0.0013497223396247717
nonevent,0.005224563220501674
Ib,0.9990943335244572
Ib,0.9899288604890459
Ib,0.9790250191260391
II,0.7567103018129362
nonevent,0.030946825106206034
II,0.8758554353296398
nonevent,0.07405120787904994
